Path,FileName,EN,DE,,
/SYSTEM,hour0,hour,Stunde,,
/SYSTEM,hour1,hours,Stunden,,
/SYSTEM,minute0,minute,Minute,,
/SYSTEM,minute1,minutes,Minuten,,
/SYSTEM,second0,second,Sekunde,,
/SYSTEM,second1,seconds,Sekunden,,
/SYSTEM,inactiv,NOT_AVAILABLE,InaktivitÃ_tsalarm,,
/SYSTEM,lowbatt,NOT_AVAILABLE,Senderspannung schwach,,
/SYSTEM,thralert,NOT_AVAILABLE,Gaskanal nicht Null, bitte prÃ_fen,
/SYSTEM,swalert,NOT_AVAILABLE,Schalter fehlpositioniert, bitte prÃ_fen,
/SYSTEM,eebad,NOT_AVAILABLE,EEPROM fehlerhaft,,
/SYSTEM,eeformat,NOT_AVAILABLE,EEPROM formatiert,,
/SYSTEM,error,NOT_AVAILABLE,Fehler,,
/SYSTEM,midtrim,NOT_AVAILABLE,Trim zentriert,,
/SYSTEM,midpot,NOT_AVAILABLE,Poti zentriert,,
/SYSTEM,maxtrim,NOT_AVAILABLE,Obere Trimmungsgrenze erreicht,,
/SYSTEM,mintrim,NOT_AVAILABLE,Untere Trimmungsgrenze erreicht,,
/SYSTEM,timer20,NOT_AVAILABLE,20 Sekunden,,
/SYSTEM,timer30,NOT_AVAILABLE,30 Sekunden,,
/SYSTEM,highmah,NOT_AVAILABLE,Senderstrom zu hoch!,,
/SYSTEM,hightemp,NOT_AVAILABLE,Sendertemperatur zu hoch!,,
/SYSTEM,a1_org,NOT_AVAILABLE,A1 schwach!,,
/SYSTEM,a1_red,NOT_AVAILABLE,A1 kritisch!,,
/SYSTEM,a2_org,NOT_AVAILABLE,A2 schwach!,,
/SYSTEM,a2_red,NOT_AVAILABLE,A2 kritisch!,,
/SYSTEM,a3_org,NOT_AVAILABLE,A3 schwach!,,
/SYSTEM,a3_red,NOT_AVAILABLE,A3 kritisch!,,
/SYSTEM,a4_org,NOT_AVAILABLE,A4 schwach!,,
/SYSTEM,a4_red,NOT_AVAILABLE,A4 kritisch!,,
/SYSTEM,rssi_org,NOT_AVAILABLE,Funksignal schwach!,,
/SYSTEM,rssi_red,NOT_AVAILABLE,Funksignal kritisch!,,
/SYSTEM,swr_red,NOT_AVAILABLE,Problem mit der Sender Antenne,,
/SYSTEM,telemko,NOT_AVAILABLE,Telemetrie verloren,,
/SYSTEM,telemok,NOT_AVAILABLE,Telemetrie wiederhergestellt,,
